"","site_no","date","time","wtemp","baro_mmHg","discharge_ft3","gage_ft","SpC","DOmgL","pH","TN","NH3","NO3","OrthoP_PO4","OrthoP_P","TP","TP_lbsP","TN_lbsN","TSS","SuspSed_mgL","SuspSed_discharge","ironUF","ironF","site"
"99990","10336700","2020-06-11","13:35",10,NA,5,1.66,72,NA,NA,0.09,0.08,0.009,0.03,0.01,0.031," 0.84"," 2.43",0.0021,4," 0.05",NA,NA,"Incline"
"99991","10336700","2020-07-08","09:50",5.5,NA,3.5,1.58,75,NA,NA,0.15,0.13,0.019,0.033,0.011,0.034," 0.64"," 2.83",0.0037,6," 0.06",NA,NA,"Incline"
"99992","10336700","2020-08-06","15:00",14,NA,2.3,1.51,85,NA,NA,0.1,0.09,0.017,0.056,0.018,0.035," 0.43"," 1.24",0.0044,6," 0.04",NA,NA,"Incline"
"99993","10336700","2020-09-03","12:20",12.7,610,2.2,1.51,94,8.6,8.1,NA,NA,0.017,0.047,0.015,0.058," 0.69"," 0.69",0.0046,6," 0.04",NA,NA,"Incline"
"99994","10336700","2020-10-09","14:30",11.4,NA,2.3,1.5,86,NA,NA,0.09,0.09,0.004,0.038,0.012,0.031," 0.39"," 1.12",0.0034,5," 0.03",NA,NA,"Incline"
"99995","10336700","2020-11-06","09:40",7.5,NA,2.6,1.53,93,NA,NA,0.11,0.11,0.002,0.04,0.013,0.028," 0.39"," 1.54",0.0208,39," 0.27",NA,NA,"Incline"
"99996","10336700","2020-12-11","13:20",1.3,607,3.2,1.58,94,12.2,7.6,0.07,0.06,0.002,0.022,0.007,0.027," 0.47"," 1.21",0.001,1," 0.01",NA,NA,"Incline"
"99997","10336700","2021-01-08","14:00",1.9,NA,3,1.56,98,NA,NA,0.16,0.15,0.006,0.02,0.007,0.019," 0.31"," 2.59",0.0034,6," 0.05",NA,NA,"Incline"
"99998","10336700","2021-02-04","10:30",0,NA,3.6,3.57,98,NA,NA,0.14,0.12,0.018,0.016,0.005,0.019," 0.37"," 2.72",0.0025,4," 0.04",NA,NA,"Incline"
"99999","10336700","2021-03-04","14:20",3.3,610,3.6,1.6,114,11.8,7.8,0.17,0.15,0.025,0.021,0.007,0.024," 0.47"," 3.30",0.0194,30," 0.29",NA,NA,"Incline"
"100000","10336700","2021-04-01","10:20",2,NA,5,1.66,102,NA,NA,0.25,0.19,0.064,0.023,0.007,0.026," 0.70"," 6.74",0.0053,9," 0.12",NA,NA,"Incline"
"100001","10336700","2021-04-08","13:25",4,NA,5.8,1.7,82,NA,NA,0.29,0.21,0.079,0.025,0.008,0.036," 1.13"," 9.07",0.0044,6," 0.09",NA,NA,"Incline"
"100002","10336700","2021-04-15","11:10",2,NA,5.4,1.68,90,NA,NA,0.25,0.19,0.06,0.023,0.007,0.059," 1.72"," 7.28",0.3127,NA,NA,NA,NA,"Incline"
"100003","10336700","2021-04-22","13:30",6,NA,5.5,1.7,74,NA,NA,0.21,0.16,0.058,0.029,0.009,0.042," 1.25"," 6.23",0.0043,7," 0.10",NA,NA,"Incline"
"100004","10336700","2021-04-29","10:35",5,NA,4.2,1.66,85,NA,NA,0.12,0.08,0.038,0.023,0.008,0.04," 0.91"," 2.72",0.0028,4," 0.05",NA,NA,"Incline"
"100005","10336700","2021-05-06","13:00",8,NA,4.6,1.65,70,NA,NA,0.24,0.22,0.021,0.028,0.009,0.045," 1.12"," 5.95",0.0033,5," 0.06",NA,NA,"Incline"
"100006","10336700","2021-05-13","19:20",7,NA,3.8,1.6,82,NA,NA,0.13,0.11,0.014,0.031,0.01,0.042," 0.86"," 2.66",0.0033,5," 0.05",NA,NA,"Incline"
"100007","10336700","2021-05-20","10:05",4.9,NA,3.4,1.58,82,NA,NA,0.12,0.1,0.016,0.024,0.008,0.031," 0.57"," 2.20",0.0056,9," 0.08",NA,NA,"Incline"
"100008","10336700","2021-06-03","15:10",15.6,NA,2.3,1.54,82,NA,7.4,0.15,0.14,0.011,0.033,0.011,0.037," 0.46"," 1.86",0.0055,8," 0.05",NA,NA,"Incline"
"100009","10336700","2021-07-08","14:15",16.8,NA,1.5,1.47,95,NA,NA,0.28,0.25,0.029,0.051,0.017,0.05," 0.41"," 2.27",0.0048,6," 0.02",NA,NA,"Incline"
"100010","10336700","2021-08-05","12:00",14.1,NA,1.2,1.44,108,NA,NA,0.29,0.25,0.041,0.061,0.02,0.065," 0.42"," 1.88",0.0042,7," 0.02",NA,NA,"Incline"
"100011","10336700","2021-09-17","14:00",12,609,1.2,1.44,108,8.9,7.3,0.5,0.49,0.006,0.072,0.024,0.106," 0.69"," 3.24",0.0132,21," 0.07",NA,NA,"Incline"
"100012","10336700","2021-10-08","13:05",7.5,NA,2,1.5,108,NA,NA,0.25,0.24,0.004,0.049,0.016,0.094,NA,NA,0.0102,15," 0.08",NA,NA,"Incline"
"100013","10336700","2021-10-24","12:40",5.8,NA,18,2.13,90,NA,NA,4.1,4,0.059,0.066,0.022,0.576,NA,NA,0.406,660," 32",NA,NA,"Incline"
"100014","10336700","2021-11-05","14:55",5.4,NA,3.6,1.58,105,NA,NA,0.14,0.14,0.002,0.032,0.011,0.025,NA,NA,0.0026,4," 0.04",NA,NA,"Incline"
"100015","10336700","2021-12-03","09:45",1.7,611,2.7,1.52,101,11.7,7.5,0.13,0.12,0.006,0.019,0.006,0.029,NA,NA,0.0028,4," 0.03",NA,NA,"Incline"
"100016","10336700","2022-01-06","14:30",3,NA,3.4,1.58,118,NA,NA,0.12,0.1,0.016,0.02,0.007,0.033,NA,NA,0.0024,3," 0.03",NA,NA,"Incline"
"100017","10336700","2022-02-10","09:10",2.7,NA,4.2,1.63,125,NA,NA,0.18,0.14,0.038,0.019,0.006,0.032,NA,NA,0.0039,5," 0.06",NA,NA,"Incline"
"100018","10336700","2022-03-02","13:30",4,608,4.8,1.65,119,10.2,7.5,0.19,0.16,0.036,0.024,0.008,0.028,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100019","10336700","2022-03-24","18:00",8.3,NA,9.6,1.85,99,NA,NA,0.38,0.32,0.057,0.031,0.01,0.07,NA,NA,0.0202,29," 0.75",NA,NA,"Incline"
"100020","10336700","2022-03-31","13:25",6.6,NA,8,1.82,94,NA,NA,0.27,0.21,0.057,0.024,0.008,0.043,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100021","10336700","2022-04-07","18:55",8,NA,10,1.87,74,NA,NA,0.34,0.29,0.047,0.03,0.01,0.07,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100022","10336700","2022-04-28","14:30",7,NA,7.9,1.79,86,NA,NA,0.19,0.16,0.026,0.026,0.008,0.044,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100023","10336700","2022-05-05","10:45",5.6,608,7.8,1.79,NA,NA,NA,0.19,0.17,0.016,0.021,0.007,0.042,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100024","10336700","2022-05-19","12:50",9.1,NA,8,1.8,72,NA,NA,0.19,0.19,0.002,0.019,0.006,0.033,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100025","10336700","2022-05-26","10:05",7,NA,8,1.8,71,NA,NA,0.16,0.15,0.003,0.025,0.008,0.036,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100026","10336700","2022-06-02","13:45",9.3,NA,6.5,1.74,70,NA,NA,0.15,0.15,0.002,0.022,0.007,0.033,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100027","10336700","2022-06-09","15:20",13.3,608,5.8,1.71,NA,NA,NA,0.15,0.14,0.01,0.029,0.009,0.055,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100028","10336700","2022-07-07","12:00",10.4,NA,3.5,1.61,81,NA,NA,0.11,0.09,0.011,0.027,0.009,0.028,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100029","10336700","2022-08-04","15:20",17.1,607,1.9,1.49,NA,NA,NA,0.25,0.23,0.025,0.053,0.017,0.044,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100030","10336700","2022-09-08","12:25",14,607,2,1.49,NA,NA,NA,0.23,0.21,0.019,0.051,0.017,0.055,NA,NA,NA,NA,NA,NA,NA,"Incline"
"100031","10336700","2022-09-20","11:15",8.6,NA,3.9,1.61,NA,NA,NA,1,1,0.015,0.063,0.021,0.143,NA,NA,NA,NA,NA,NA,NA,"Incline"
"99927","10336698","2020-01-07","13:00",1.5,NA,3.9,1.9,66,NA,NA,0.07,0.07,0.005,0.02,0.007,0.021," 0.44"," 1.47",0.0018,3," 0.03",NA,NA,"Third"
"99928","10336698","2020-02-07","09:40",0.5,NA,4,1.93,67,NA,NA,0.05,0.04,0.006,0.02,0.006,0.02," 0.43"," 1.08",NA,NA,NA,NA,NA,"Third"
"99929","10336698","2020-03-05","14:25",5.1,609,4.5,1.93,64,9.6,7.8,0.08,0.08,0.003,0.022,0.007,0.02," 0.49"," 1.94",0.0023,4," 0.05",NA,NA,"Third"
"99930","10336698","2020-04-10","08:45",3.5,NA,4.7,NA,76,NA,NA,0.14,0.14,0.005,0.018,0.006,0.025," 0.63"," 3.55",0.0029,5," 0.06",NA,NA,"Third"
"99931","10336698","2020-04-16","12:55",6.5,NA,6.7,2.12,63,NA,NA,0.1,0.1,0.004,0.021,0.007,0.023," 0.83"," 3.61",0.0028,5," 0.09",NA,NA,"Third"
"99932","10336698","2020-04-23","08:45",3,NA,8.8,NA,61,NA,NA,0.22,0.21,0.01,0.018,0.006,0.03," 1.42"," 10.4",0.0058,10," 0.24",NA,NA,"Third"
"99933","10336698","2020-04-30","12:00",4.5,NA,21,2.37,37,NA,NA,NA,NA,0.008,0.02,0.007,0.021," 2.38"," 2.38",0.0058,10," 0.56",NA,NA,"Third"
"99934","10336698","2020-05-07","09:10",3.5,NA,15,2.27,39,NA,NA,0.08,0.08,0.002,0.018,0.006,0.017," 1.38"," 6.47",0.0025,4," 0.16",NA,NA,"Third"
"99935","10336698","2020-05-14","12:45",4,NA,13,2.25,39,NA,NA,0.08,0.08,0.002,0.019,0.006,0.019," 1.33"," 5.61",0.0032,4," 0.14",NA,NA,"Third"
"99936","10336698","2020-05-28","19:55",11,NA,24,2.52,30,NA,NA,0.2,0.2,0.003,0.023,0.007,0.046," 5.95"," 25.9",0.0088,17," 1.1",NA,NA,"Third"
"99937","10336698","2020-06-04","08:40",6.7,605,13,2.3,37,10.5,7.4,0.1,0.1,0.003,0.02,0.007,0.024," 1.68"," 7.01",0.0035,5," 0.18",NA,NA,"Third"
"99938","10336698","2020-06-11","14:15",10,NA,8.3,2.12,44,NA,NA,0.08,0.08,0.004,0.02,0.007,0.026," 1.16"," 3.58",0.0029,5," 0.11",NA,NA,"Third"
"99939","10336698","2020-07-08","10:20",5.5,NA,2.3,1.84,58,NA,NA,0.09,0.09,0.006,0.029,0.009,0.025," 0.31"," 1.12",0.0026,4," 0.03",NA,NA,"Third"
"99940","10336698","2020-08-06","15:40",14,NA,1.7,1.71,69,NA,NA,0.06,0.05,0.007,0.041,0.013,0.03," 0.28"," 0.55",0.006,9,"A 0.04",NA,NA,"Third"
"99941","10336698","2020-09-03","11:45",13.3,610,1.2,1.71,69,8.7,8,NA,NA,0.004,0.036,0.012,0.043," 0.28"," 0.28",0.0014,2,"A 0.01",NA,NA,"Third"
"99942","10336698","2020-10-09","15:05",11.8,NA,1.1,1.72,65,NA,NA,0.05,0.05,0.002,0.035,0.011,0.019," 0.11"," 0.30",2e-04,0.5,"< 0.001",NA,NA,"Third"
"99943","10336698","2020-11-06","10:30",6,NA,2,1.84,NA,NA,NA,0.08,0.08,0.002,0.038,0.012,0.033," 0.36"," 0.86",9e-04,1," 0.01",NA,NA,"Third"
"99944","10336698","2020-12-11","12:45",0.7,607,2.3,1.86,68,12.6,7.4,0.11,0.11,0.003,0.024,0.008,0.02," 0.25"," 1.36",1e-04,0.5,"< 0.003",NA,NA,"Third"
"99945","10336698","2021-01-08","14:35",0,NA,3,1.89,68,NA,NA,0.06,0.06,0.002,0.022,0.007,0.016," 0.26"," 0.97",0.0013,2," 0.02",NA,NA,"Third"
"99946","10336698","2021-02-04","11:25",0.1,NA,2.2,2.25,103,NA,NA,0.06,0.06,0.002,0.018,0.006,0.012," 0.14"," 0.71",0.0031,4," 0.02",NA,NA,"Third"
"99947","10336698","2021-03-04","15:00",3.7,610,2.7,1.84,71,11,7.6,0.13,0.13,0.002,0.02,0.006,0.019," 0.28"," 1.89",0.0018,2," 0.01",NA,NA,"Third"
"99948","10336698","2021-04-01","11:15",2.9,NA,3.4,2.25,63,NA,NA,0.14,0.14,0.002,0.017,0.006,0.031," 0.57"," 2.57",0.0136,21," 0.19",NA,NA,"Third"
"99949","10336698","2021-04-08","14:15",6,NA,5.3,2,52,NA,NA,0.15,0.14,0.002,0.02,0.007,0.022," 0.63"," 4.29",0.0024,4," 0.06",NA,NA,"Third"
"99950","10336698","2021-04-15","10:30",2,NA,4.7,1.96,55,NA,NA,0.1,0.1,0.002,0.018,0.006,0.027," 0.68"," 2.54",0.003,5," 0.06",NA,NA,"Third"
"99951","10336698","2021-04-22","14:10",7,NA,6.3,2.01,45,NA,NA,0.14,0.14,0.006,0.021,0.007,0.032," 1.09"," 4.76",0.0054,8," 0.14",NA,NA,"Third"
"99952","10336698","2021-04-29","11:15",5,NA,5.9,2,52,NA,NA,0.12,0.12,0.002,0.019,0.006,0.029," 0.92"," 3.82",0.0026,4," 0.06",NA,NA,"Third"
"99953","10336698","2021-05-06","12:50",7.5,NA,10,2.19,39,NA,NA,0.3,0.29,0.005,0.02,0.007,0.027," 1.46"," 16.2",0.005,7," 0.19",NA,NA,"Third"
"99954","10336698","2021-05-13","18:45",10,NA,10,2.25,44,NA,NA,0.13,0.13,0.002,0.022,0.007,0.027," 1.46"," 7.01",0.0045,7," 0.20",NA,NA,"Third"
"99955","10336698","2021-05-20","09:20",4.2,NA,7.2,2.03,40,NA,NA,0.12,0.11,0.007,0.017,0.006,0.02," 0.78"," 4.66",0.0013,2," 0.04",NA,NA,"Third"
"99956","10336698","2021-06-03","15:40",16.1,608,4.3,1.95,48,8.4,7.4,0.31,0.26,0.057,0.025,0.008,0.025," 0.58"," 7.19",0.0016,2," 0.02",NA,NA,"Third"
"99957","10336698","2021-07-08","14:30",20.6,NA,0.71,1.62,69,NA,NA,0.16,0.14,0.013,0.052,0.017,0.031," 0.12"," 0.61",0.0048,7," 0.01",NA,NA,"Third"
"99958","10336698","2021-08-05","10:45",14.2,NA,0.69,1.59,74,NA,NA,0.09,0.08,0.003,0.035,0.012,0.043," 0.16"," 0.34",0.0019,3," 0.01",NA,NA,"Third"
"99959","10336698","2021-09-17","14:20",13.9,609,0.71,1.6,70,8.6,7.4,0.16,0.15,0.005,0.055,0.018,0.037," 0.14"," 0.61",0.0026,4," 0.01",NA,NA,"Third"
"99960","10336698","2021-10-08","13:40",8.4,NA,0.85,1.65,70,NA,NA,0.08,0.08,0.009,0.035,0.012,0.026,NA,NA,0.0015,2," 0.00",NA,NA,"Third"
"99961","10336698","2021-10-24","13:30",5.7,NA,9.3,2.25,56,NA,NA,4.4,4.3,0.044,0.062,0.02,0.197,NA,NA,0.2343,412," 10",NA,NA,"Third"
"99962","10336698","2021-11-05","15:40",5.5,NA,4,2.01,60,NA,NA,0.16,0.16,0.002,0.027,0.009,0.021,NA,NA,0.0018,2," 0.02",NA,NA,"Third"
"99963","10336698","2021-12-03","10:25",5.1,608,2.4,1.91,62,11.6,7.5,0.08,0.08,0.002,0.021,0.007,0.023,NA,NA,0.0012,2," 0.01",NA,NA,"Third"
"99964","10336698","2022-01-06","14:50",2.4,NA,2.4,1.92,71,NA,NA,0.08,0.07,0.007,0.017,0.006,0.02,NA,NA,0.0016,2," 0.01",NA,NA,"Third"
"99965","10336698","2022-02-10","09:50",2.3,NA,3.1,1.95,76,NA,NA,0.09,0.09,0.004,0.016,0.005,0.02,NA,NA,0.0015,2," 0.02",NA,NA,"Third"
"99966","10336698","2022-03-02","13:55",4.9,609,3.7,1.97,75,10.2,7.3,0.1,0.1,0.002,0.018,0.006,0.017,NA,NA,NA,NA,NA,NA,NA,"Third"
"99967","10336698","2022-03-24","18:35",7.8,NA,6.9,2.12,64,NA,NA,0.16,0.16,0.002,0.018,0.006,0.04,NA,NA,0.0073,11," 0.20",NA,NA,"Third"
"99968","10336698","2022-03-31","14:30",5.8,NA,5.5,2.08,64,NA,NA,0.13,0.12,0.002,0.019,0.006,0.023,NA,NA,NA,NA,NA,NA,NA,"Third"
"99969","10336698","2022-04-07","19:30",8.4,NA,11,2.26,50,NA,NA,0.31,0.31,0.002,0.02,0.007,0.07,NA,NA,NA,NA,NA,NA,NA,"Third"
"99970","10336698","2022-04-28","14:00",6,NA,6.9,2.12,56,NA,NA,0.12,0.11,0.003,0.016,0.005,0.027,NA,NA,NA,NA,NA,NA,NA,"Third"
"99971","10336698","2022-05-05","10:10",4.5,608,9.6,2.21,NA,NA,NA,0.15,0.15,0.002,0.016,0.005,0.032,NA,NA,NA,NA,NA,NA,NA,"Third"
"99972","10336698","2022-05-19","12:20",8.4,NA,14,2.32,39,NA,NA,0.14,0.14,0.002,0.018,0.006,0.023,NA,NA,NA,NA,NA,NA,NA,"Third"
"99973","10336698","2022-05-26","11:00",7,NA,16,2.36,39,NA,NA,0.12,0.12,0.002,0.019,0.006,0.022,NA,NA,NA,NA,NA,NA,NA,"Third"
"99974","10336698","2022-06-02","13:20",9.1,NA,8.4,2.17,46,NA,NA,0.13,0.13,0.002,0.016,0.005,0.021,NA,NA,NA,NA,NA,NA,NA,"Third"
"99975","10336698","2022-06-09","14:40",13.7,608,7.8,2.15,NA,NA,NA,0.11,0.1,0.006,0.019,0.006,0.031,NA,NA,NA,NA,NA,NA,NA,"Third"
"99976","10336698","2022-07-07","12:20",13,NA,2.4,1.93,67,NA,NA,0.06,0.06,0.004,0.02,0.007,0.017,NA,NA,NA,NA,NA,NA,NA,"Third"
"99977","10336698","2022-08-04","15:55",19.4,606,1.1,1.85,NA,NA,NA,0.16,0.15,0.01,0.047,0.015,0.046,NA,NA,NA,NA,NA,NA,NA,"Third"
"99978","10336698","2022-09-08","13:45",17.1,606,0.87,1.48,NA,NA,NA,0.13,0.12,0.005,0.039,0.013,0.035,NA,NA,NA,NA,NA,NA,NA,"Third"
